                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0862,                0.89425,                 1.1024,                0.95281,                0.90141,                0.95719,                0.69272,                 1.0063,                0.67543,                 1.0498,               0.006634,               0.006634,               0.006634
                     36,                 1.0745,                0.88363,                 1.0997,                0.96384,                0.92857,                0.96428,                0.72479,                0.85555,                 0.6437,                0.94293,               0.006535,               0.006535,               0.006535
                     37,                 1.0465,                0.88171,                 1.0749,                0.95344,                0.91419,                0.97274,                0.75632,                0.81134,                0.60684,                0.91913,               0.006436,               0.006436,               0.006436
                     38,                 1.0782,                0.88976,                 1.0871,                0.92219,                0.95242,                0.97146,                 0.7362,                0.88251,                0.62951,                0.94037,               0.006337,               0.006337,               0.006337
                     39,                 1.0474,                0.85622,                 1.0771,                0.99588,                0.91071,                 0.9443,                0.72455,                0.87301,                0.64879,                0.94019,               0.006238,               0.006238,               0.006238
                     40,                 1.0408,                0.82257,                   1.07,                0.93075,                0.88393,                0.90394,                0.69012,                0.86432,                0.74664,                 0.9213,               0.006139,               0.006139,               0.006139
                     41,                 1.0385,                0.83705,                  1.072,                0.90721,                0.89286,                0.93065,                0.72184,                0.80144,                 0.6847,                0.91477,                0.00604,                0.00604,                0.00604
                     42,                 1.0464,                0.84889,                 1.0713,                0.92827,                0.92444,                0.96888,                0.75528,                0.74438,                0.60996,                0.89785,               0.005941,               0.005941,               0.005941
                     43,                 1.0066,                0.84236,                  1.067,                      1,                0.92721,                0.97774,                0.78953,                0.73549,                0.56258,                0.89523,               0.005842,               0.005842,               0.005842
                     44,                0.97078,                0.80101,                 1.0364,                0.98124,                0.93421,                0.98156,                0.79058,                0.73352,                 0.5357,                0.89487,               0.005743,               0.005743,               0.005743
                     45,                0.97759,                0.79336,                 1.0425,                0.96361,                0.94643,                0.97836,                0.78782,                0.74267,                0.53615,                0.90374,               0.005644,               0.005644,               0.005644
                     46,                0.97678,                0.77998,                 1.0358,                0.97134,                0.90772,                0.96559,                0.75655,                0.76523,                0.58876,                0.89974,               0.005545,               0.005545,               0.005545
                     47,                0.98637,                0.77598,                 1.0448,                 0.9654,                0.91071,                0.96704,                0.76651,                0.74171,                 0.5757,                0.88542,               0.005446,               0.005446,               0.005446
                     48,                0.95029,                0.75663,                 1.0347,                0.96208,                 0.9375,                 0.9705,                0.77831,                0.73532,                0.53888,                0.89055,               0.005347,               0.005347,               0.005347
                     49,                0.96837,                0.75918,                 1.0356,                0.94141,                0.91071,                0.96793,                0.75706,                0.75723,                0.54289,                 0.8941,               0.005248,               0.005248,               0.005248
                     50,                0.94368,                0.74153,                 1.0274,                0.99599,                0.92857,                0.98039,                0.77977,                0.71135,                0.54864,                 0.8883,               0.005149,               0.005149,               0.005149
                     51,                0.91637,                0.72165,                 1.0144,                 0.9792,                0.90179,                0.97167,                 0.7738,                0.77465,                0.57227,                0.89526,                0.00505,                0.00505,                0.00505
                     52,                0.92313,                0.73808,                 1.0207,                0.96921,                0.92857,                0.97474,                 0.7726,                0.75747,                0.53969,                0.88718,               0.004951,               0.004951,               0.004951
